Time (s),Amplitude
0.973077,0
0.973077,0
0.974226,0
0.975222,0
0.975222,0
0.975222,0
0.975222,0
0.975222,0
0.975222,0
0.976222,0
0.976222,0
0.976222,0
0.976222,0
0.977632,0
0.977632,0
0.977632,0
0.977632,0
0.977632,0
0.977632,0
0.977632,0
0.977632,0
0.978634,0
0.978634,0
0.979633,0
0.980634,0
0.980770,0
0.980770,0
0.980770,0
0.980770,0
0.980770,0
0.980770,0
0.980770,0
0.980770,0
0.980770,0
0.983186,0
0.983186,0
0.983186,0
0.983186,0
0.983186,0
0.983186,0
0.983186,0
0.983186,0
0.984185,0
0.984185,0
0.984185,0
0.985961,0
0.985961,0
0.985961,0
0.985961,0
0.985961,0
0.985961,0
0.985961,0
0.986962,0
0.986962,0
0.986962,0
0.987962,0
0.988966,0
0.988966,0
0.988966,0
0.988966,0
0.988966,0
0.988966,0
0.988966,0
0.988966,0
0.989962,0
0.989962,0
0.991518,0
0.991518,0
0.991518,0
0.991518,0
0.991518,0
0.991518,0
0.991518,0
0.992519,0
0.992519,0
0.992519,0
0.992519,0
0.993681,0
0.994526,0
0.994526,0
0.994526,0
0.994526,0
0.994526,0
0.994526,0
0.994526,0
0.995526,0
0.995526,0
0.996526,0
0.996526,0
0.996526,0
0.997527,0
0.997527,0
0.997527,0
0.997527,0
0.997527,0
0.997527,0
0.997527,0
0.997527,0
0.999855,0
0.999855,0
0.999855,0
0.999855,0
0.999855,0
0.999855,0
0.999855,0
1.000858,0
1.000858,0
1.000858,0
1.000858,0
1.002635,0
1.002635,0
1.002635,0
1.002635,0
1.002635,0
1.002635,0
1.002635,0
1.003638,0
1.003638,0
1.003638,0
1.005411,0
1.005411,0
1.005776,0
1.005854,0
1.005854,0
1.005854,0
1.005854,0
1.005854,0
1.005854,0
1.005854,0
1.006850,0
1.007881,0
1.007881,0
1.007881,0
1.007881,0
1.007881,0
1.008882,0
1.008882,0
1.008882,0
1.008882,0
1.008882,0
1.008882,0
1.010982,0
1.010982,0
1.010982,0
1.010982,0
1.011645,0
1.011645,0
1.011645,0
1.011645,0
1.011645,0
1.011645,0
1.013743,0
1.013743,0
1.013743,0
1.013743,0
1.013743,0
1.013743,0
1.013743,0
1.014745,0
1.014745,0
1.014745,0
1.014745,0
1.016518,0
1.016518,0
1.016518,0
1.016518,0
1.016518,0
1.016518,0
1.016518,0
1.017518,0
1.017518,0
1.017518,0
1.017518,0
1.018702,0
1.018702,0
1.019702,0
1.019702,0
1.019702,0
1.019702,0
1.019702,0
1.019702,0
1.019702,0
1.019702,0
1.022073,0
1.022073,0
1.022073,0
1.022073,0
1.022073,0
1.022073,0
1.022073,0
1.023073,0
1.023073,0
1.023073,0
1.023073,0
1.024218,0
1.024218,0
1.025213,0
1.025213,0
1.025213,0
1.025213,0
1.025213,0
1.025213,0
1.025213,0
1.026214,0
1.026214,0
1.027215,0
1.027215,0
1.027215,0
1.027215,0
1.028214,0
1.028214,0
1.028214,0
1.028214,0
1.028214,0
1.028214,0
1.030216,0
1.030216,0
1.030216,0
1.030216,0
1.030216,0
1.030216,0
1.031369,0
1.031369,0
1.031369,0
1.031369,0
1.031369,0
1.032365,0
1.033364,0
1.033364,0
1.033364,0
1.033364,0
1.033364,0
1.033364,0
1.033364,0
1.034364,0
1.034364,0
1.034364,0
1.035981,0
1.035981,0
1.035981,0
1.035981,0
1.035981,0
1.035981,0
1.035981,0
1.036980,0
1.036980,0
1.036980,0
1.038740,0
1.038740,0
1.038740,0
1.039211,0
1.039211,0
1.039211,0
1.039211,0
1.039211,0
1.039211,0
1.039211,0
1.039211,0
1.041212,0
1.041212,0
1.041212,0
1.042213,0
1.042213,0
1.042213,0
1.042213,0
1.042213,0
1.042213,0
1.042213,0
1.043214,0
1.044212,0
1.044212,0
1.044212,0
1.044212,0
1.044212,0
1.045211,0
1.045211,0
1.045211,0
1.045211,0
1.045211,0
1.046213,0
1.047211,0
1.047211,0
1.047211,0
1.047211,0
1.047211,0
1.047211,0
1.048211,0
1.048211,0
1.048211,0
1.048211,0
1.049212,0
1.049212,0
1.050370,0
1.050370,0
1.050370,0
1.050370,0
1.050370,0
1.050370,0
1.050370,0
1.051367,0
1.051367,0
1.052366,0
1.052366,0
1.052366,0
1.052366,0
1.053368,0
1.053368,0
1.053368,0
1.053368,0
1.053368,0
1.053368,0
1.055367,0
1.055367,0
1.055367,0
1.055367,0
1.055367,0
1.055367,0
1.056420,0
1.056552,0
1.056552,0
1.056552,0
1.056552,0
1.057546,0
1.057546,0
1.058547,0
1.058547,0
1.058547,0
1.058547,0
